Region,CalendarYear,Month,Days,Kilograms
Mapstone - Cairns,2006,04 - April,50,150.36
Mapstone - Cairns,2006,05 - May,17,8.94
Mapstone - Cairns,2006,06 - June,18,27.32
Mapstone - Cairns,2006,07 - July,18,16.82
Mapstone - Cairns,2006,08 - August,22,28.76
Mapstone - Cairns,2006,09 - September,35,19.94
Mapstone - Cairns,2006,10 - October,44,74.62
Mapstone - Cairns,2006,11 - November,25,3
Mapstone - Cairns,2006,12 - December,16,6
Mapstone - Cairns,2006 Total,,372,506.94
Mapstone - Cairns,2007,01 - January,29,6
Mapstone - Cairns,2007,02 - February,22,16.32
Mapstone - Cairns,2007,03 - March,25,35.84
Mapstone - Cairns,2007,04 - April,41,74.62
Mapstone - Cairns,2007,05 - May,33,111.68
Mapstone - Cairns,2007,06 - June,22,47.1
Mapstone - Cairns,2007,07 - July,N/A,N/A
Mapstone - Cairns,2007,08 - August,21,20.82
Mapstone - Cairns,2007,09 - September,43,41.88
Mapstone - Cairns,2007,10 - October,72,100.74
Mapstone - Cairns,2007,11 - November,29,5.88
Mapstone - Cairns,2007,12 - December,14,4
Mapstone - Cairns,2007 Total,,363,491.7
Mapstone - Cairns,2008,01 - January,13,0
Mapstone - Cairns,2008,02 - February,16,3
Mapstone - Cairns,2008,03 - March,21,44.94
Mapstone - Cairns,2008,04 - April,31,37.96
Mapstone - Cairns,2008,05 - May,24,83.5
Mapstone - Cairns,2008,06 - June,8,6
Mapstone - Cairns,2008,07 - July,N/A,N/A
Mapstone - Cairns,2008,08 - August,13,6.94
Mapstone - Cairns,2008,09 - September,26,17.64
Mapstone - Cairns,2008,10 - October,41,27.2
Mapstone - Cairns,2008,11 - November,17,0
Mapstone - Cairns,2008,12 - December,N/A,N/A
Mapstone - Cairns,2008 Total,,231,227.18
Mapstone - Cairns,2009,01 - January,20,0
Mapstone - Cairns,2009,02 - February,21,5
Mapstone - Cairns,2009,03 - March,37,54.14
Mapstone - Cairns,2009,04 - April,37,76.8
